match_no,ballnumber,inningno,over,outcome,batter,bowler,comment
42,91,2,14.3,1,Suryakumar Yadav,Jason Holder,"Jason Holder to Suryakumar Yadav, 1 run,"
42,92,2,14.4,1wd,Tilak Varma,Jason Holder,"Jason Holder to Tilak Varma, 1 wide,"
42,93,2,14.4,0,Tilak Varma,Jason Holder,"Jason Holder to Tilak Varma, no run,"
42,94,2,14.5,1,Tilak Varma,Jason Holder,"Jason Holder to Tilak Varma, 1 run,"
42,95,2,14.6,4,Suryakumar Yadav,Jason Holder,"Jason Holder to Suryakumar Yadav, Four,"
42,96,2,15.1,1wd,Tilak Varma,Trent Boult,"Trent Boult to Tilak Varma, 1 wide,"
42,97,2,15.1,0,Tilak Varma,Trent Boult,"Trent Boult to Tilak Varma, no run,"
42,98,2,15.2,1,Tilak Varma,Trent Boult,"Trent Boult to Tilak Varma, 1 run,"
42,99,2,15.3,0,Suryakumar Yadav,Trent Boult,"Trent Boult to Suryakumar Yadav, no run,"
42,100,2,15.4,w,Suryakumar Yadav,Trent Boult,"Trent Boult to Suryakumar Yadav, no run,                           Wicket - c Sandeep Sharma b Trent Boult batsmen out 55(29)"
42,101,2,15.5,2,Tim David,Trent Boult,"Trent Boult to Tim David, 2 runs,"
42,102,2,15.6,2,Tim David,Trent Boult,"Trent Boult to Tim David, 2 runs,"
